Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2499992,imr,COUNTRY,NGA,AFR,YEAR,Africa,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE06,2011,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not available,2022-05-26T12:23:15+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2500606,imr,COUNTRY,CIV,AFR,YEAR,Africa,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE03,1994,,,,,DATASOURCE,DATASOURCE_EQ_DHS,112.1 [91.2-133.1],112.14528,91.17387,133.1167,,2022-05-26T12:04:58+02:00,1994,1994-01-01T00:00:00+01:00,1994-12-31T00:00:00+01:00
2501653,imr,COUNTRY,GNB,AFR,YEAR,Africa,AGEGROUP,AGEGROUP_YEARS20-49,2006,,,,,DATASOURCE,DATASOURCE_EQ_MICS,No data,,,,Not available,2022-05-26T11:02:18+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2502865,imr,COUNTRY,PER,AMR,YEAR,Americas,WEALTHQUINTILE,WEALTHQUINTILE_WQ2,2014,,,,,DATASOURCE,DATASOURCE_EQ_DHS,22.6 [17.5-27.8],22.61256,17.47124,27.75388,,2022-05-26T13:01:32+02:00,2014,2014-01-01T00:00:00+01:00,2014-12-31T00:00:00+01:00
2502914,imr,COUNTRY,PER,AMR,YEAR,Americas,WEALTHDECILE,WEALTHDECILE_WEALTHDECILE07,2012,,,,,DATASOURCE,DATASOURCE_EQ_DHS,12.2 [6.4-17.9],12.17289,6.39962,17.94616,,2022-05-26T12:26:29+02:00,2012,2012-01-01T00:00:00+01:00,2012-12-31T00:00:00+01:00
2503685,imr,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,SEX,SEX_FMLE,2011,,,,,DATASOURCE,DATASOURCE_EQ_MICS,14.7 [10.9-18.5],14.68796,10.87477,18.50116,,2022-05-26T11:48:37+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
2503763,imr,COUNTRY,UGA,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_UGADHS200603,2006,,,,,DATASOURCE,DATASOURCE_EQ_DHS,53.8 [38.2-69.4],53.8208,38.19172,69.44988,,2022-05-26T14:50:07+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
2504203,imr,COUNTRY,ZWE,AFR,YEAR,Africa,EDUCATIONLEVEL,EDUCATIONLEVEL_SHLM,1999,,,,,DATASOURCE,DATASOURCE_EQ_DHS,54.0 [44.5-63.5],53.99896,44.47913,63.51879,,2022-05-26T11:26:22+02:00,1999,1999-01-01T00:00:00+01:00,1999-12-31T00:00:00+01:00
2504832,imr,COUNTRY,WSM,WPR,YEAR,Western Pacific,SEX,SEX_MLE,2019,,,,,DATASOURCE,DATASOURCE_EQ_MICS,21.1 [14.9-27.4],21.12264,14.85495,27.39032,,2022-05-26T11:48:01+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
2505515,imr,COUNTRY,TCD,AFR,YEAR,Africa,DHSMICSGEOREGION,DHSMICSGEOREGION_TCDMICS201909,2019,,,,,DATASOURCE,DATASOURCE_EQ_MICS,109.5 [92.9-126.1],109.51421,92.90844,126.11996,,2022-05-26T14:17:46+02:00,2019,2019-01-01T00:00:00+01:00,2019-12-31T00:00:00+01:00
